Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=1024
epoch_num=10000
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=3
load=None
logname='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-large-cased'
patience=100
report_fn='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
            270 |          71.32 |          70.50 |          62.89 |          67.16 
            271 |          67.47 |          71.76 |          63.90 |          68.27 
            272 |          68.22 |          72.13 |          64.39 |          68.10 
            273 |          65.37 |          72.11 |          64.43 |          67.91 
            274 |          70.13 |          71.29 |          63.93 |          67.53 
            275 |          72.48 |          72.45 |          64.90 |          68.73 
            276 |          69.64 |          72.22 |          64.67 |          68.54 
            277 |          75.10 |          72.68 |          65.02 |          68.84 
            278 |          68.61 |          71.89 |          64.49 |          68.43 
            279 |          79.78 |          73.27 |          65.65 |          69.18 
            280 |          69.81 |          72.43 |          65.36 |          69.18 
            281 |          73.42 |          72.24 |          64.54 |          69.09 
            282 |          72.10 |          72.21 |          64.98 |          68.98 
            283 |          71.72 |          72.92 |          65.57 |          69.56 
            284 |          75.71 |          72.34 |          64.74 |          69.29 
            285 |          74.19 |          72.56 |          64.28 |          68.58 
            286 |          73.19 |          72.18 |          64.31 |          68.46 
            287 |          77.61 |          72.90 |          64.50 |          69.28 
            288 |          75.91 |          73.56 |          65.85 |          69.71 
            289 |          66.71 |          71.89 |          64.08 |          68.58 
            290 |          64.28 |          71.54 |          63.81 |          67.93 
            291 |          77.52 |          72.23 |          64.34 |          68.86 
            292 |          68.97 |          71.90 |          64.21 |          68.24 
            293 |          71.45 |          72.95 |          64.65 |          68.84 
            294 |          70.02 |          72.83 |          65.12 |          68.98 
            295 |          74.78 |          72.54 |          64.81 |          68.63 
            296 |          67.49 |          72.64 |          64.91 |          68.60 
            297 |          68.85 |          73.73 |          66.02 |          70.30 
            298 |          72.03 |          72.72 |          64.77 |          69.19 
            299 |          72.57 |          72.37 |          64.94 |          68.58 
            300 |          70.52 |          72.36 |          64.30 |          68.51 
            301 |          71.00 |          73.03 |          64.86 |          69.47 
            302 |          75.01 |          73.50 |          65.89 |          69.73 
            303 |          76.18 |          73.28 |          65.13 |          69.57 
            304 |          69.42 |          73.43 |          65.11 |          69.71 
            305 |          70.89 |          73.60 |          65.06 |          69.38 
            306 |          71.70 |          73.27 |          64.83 |          68.95 
            307 |          69.25 |          73.25 |          64.90 |          69.21 
            308 |          66.68 |          73.53 |          64.85 |          69.33 
            309 |          68.57 |          72.04 |          64.64 |          68.17 
